case_id,scenario,task_a_expected,task_b_expected,relationship_expected,regulatory_disposition_expected,decision_rule,controlling_sources,failure_mode_tested
EC-001,Same corporation; punctuation/suffix variation in name; same authoritative state entity and USDOT,SAME_LEGAL_PERSON,ASSIGNMENT_CONFIRMED,FORMER/VARIANT_NAME_ONLY,none,Authoritative entity continuity controls over string variation,"S03,S04",name normalization
EC-002,Same corporation changes legal name; state entity survives; USDOT unchanged,SAME_LEGAL_PERSON,REGISTRANT_CONTINUITY_SAME,FORMER_NAME_OF,none,Name change does not create a new person when entity survives,S03,name-change split
EC-003,Corporation changes owner through stock sale; corporation survives,SAME_LEGAL_PERSON,REGISTRANT_CONTINUITY_SAME,OWNERSHIP_CHANGED,none,Owner is not the corporation,"S03,S04",owner/entity conflation
EC-004,Corporation changes officers and address; same state entity and USDOT,SAME_LEGAL_PERSON,REGISTRANT_CONTINUITY_SAME,MANAGEMENT/ADDRESS_CHANGED,none,Demographic change does not create new corporate person,S03,attribute drift
EC-005,Sole proprietor sells business/assets to unrelated buyer,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,ASSET_TRANSFER_TO,none,Natural-person USDOT cannot transfer to buyer,S03,asset-sale collapse
EC-006,Sole proprietor changes form to corporation under FMCSA published continuity exception; operations/officials/assets identical,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_SAME,CONVERTED_TO;SUBSTANTIAL_CONTINUITY_SUPPORTED,none,Legal person and FMCSA registrant continuity can diverge,S03,one-USDOT-one-legal-person invariant
EC-007,Two active LLC carriers share same individual owner,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,AFFILIATED_WITH:SUPPORTED,none,"Common ownership is relationship, not identity","S01,S02,S04",common-owner merge
EC-008,Two active corporations share parent company but have different registrations,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,OWNED_BY same parent,none,Subsidiaries remain distinct legal persons,"S04,S12",corporate-group collapse
EC-009,Parent corporation and wholly owned subsidiary,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,OWNED_BY,none,100% ownership does not create identity equivalence,"S04,S12",parent-child collapse
EC-010,Two carriers at same registered-agent office with no other links,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SHARES_ADDRESS_WITH,none,Address is weak relational evidence,"S01,S02,S06",registered-agent bias
EC-011,Two owner-operators use same residential address but are separate state persons/registrants,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SHARES_ADDRESS_WITH,none,Residential/shared household address cannot force merge,"S01,S02,S06",small-carrier/family bias
